sample_id,species,location,source
RRAP-ECT01-2022-Aspat-MACK-661_L2,Acropora cf. spathulata,Mackay Reef,doi.org/10.1016/j.cub.2026.04.087
RRAP-ECT01-2022-Aspat-MACK-670_L3,Acropora cf. spathulata,Mackay Reef,doi.org/10.1016/j.cub.2026.04.088
RRAP-ECT01-2022-Aspat-MACK-673_L4,Acropora cf. spathulata,Mackay Reef,doi.org/10.1016/j.cub.2026.04.089
RRAP-ECT01-2022-Aspat-MACK-684_L2,Acropora cf. spathulata,Mackay Reef,doi.org/10.1016/j.cub.2026.04.090
RRAP-ECT01-2022-Aspat-MACK-706_L2,Acropora cf. spathulata,Mackay Reef,doi.org/10.1016/j.cub.2026.04.091
RRAP-ECT01-2022-Aspat-MART-485_L1,Acropora cf. spathulata,Martin,doi.org/10.1016/j.cub.2026.04.078
RRAP-ECT01-2022-Aspat-MART-553_L1,Acropora cf. spathulata,Martin,doi.org/10.1016/j.cub.2026.04.079
RRAP-ECT01-2022-Aspat-MART-556_L1,Acropora cf. spathulata,Martin,doi.org/10.1016/j.cub.2026.04.080
RRAP-ECT01-2022-Aspat-MART-562_L1,Acropora cf. spathulata,Martin,doi.org/10.1016/j.cub.2026.04.081
RRAP-ECT01-2022-Aspat-MART-571_L3,Acropora cf. spathulata,Martin,doi.org/10.1016/j.cub.2026.04.082
RRAP-ECT01-2022-Aspat-MART-582_L3,Acropora cf. spathulata,Martin,doi.org/10.1016/j.cub.2026.04.083
RRAP-ECT01-2022-Aspat-MART-597_L2,Acropora cf. spathulata,Martin,doi.org/10.1016/j.cub.2026.04.084
RRAP-ECT01-2022-Aspat-NDIR-489_L1,Acropora cf. spathulata,North Direction,doi.org/10.1016/j.cub.2026.04.071
RRAP-ECT01-2022-Aspat-NDIR-511_L1,Acropora cf. spathulata,North Direction,doi.org/10.1016/j.cub.2026.04.072
RRAP-ECT01-2022-Aspat-NDIR-516_L3,Acropora cf. spathulata,North Direction,doi.org/10.1016/j.cub.2026.04.073
RRAP-ECT01-2022-Aspat-NDIR-521_L1,Acropora cf. spathulata,North Direction,doi.org/10.1016/j.cub.2026.04.074
RRAP-ECT01-2022-Aspat-NDIR-523_L1,Acropora cf. spathulata,North Direction,doi.org/10.1016/j.cub.2026.04.075
RRAP-ECT01-2022-Aspat-NDIR-526_L2,Acropora cf. spathulata,North Direction,doi.org/10.1016/j.cub.2026.04.076
RRAP-ECT01-2022-Aspat-NDIR-527_L1,Acropora cf. spathulata,North Direction,doi.org/10.1016/j.cub.2026.04.077
RRAP-ECT01-2022-Aspat-NONA-602_L3,Acropora cf. spathulata,No Name,doi.org/10.1016/j.cub.2026.04.064
RRAP-ECT01-2022-Aspat-NONA-613_L2,Acropora cf. spathulata,No Name,doi.org/10.1016/j.cub.2026.04.065
RRAP-ECT01-2022-Aspat-NONA-626_L2,Acropora cf. spathulata,No Name,doi.org/10.1016/j.cub.2026.04.066
RRAP-ECT01-2022-Aspat-NONA-633_L1,Acropora cf. spathulata,No Name,doi.org/10.1016/j.cub.2026.04.067
RRAP-ECT01-2022-Aspat-NONA-641_L3,Acropora cf. spathulata,No Name,doi.org/10.1016/j.cub.2026.04.068
RRAP-ECT01-2022-Aspat-NONA-642_L2,Acropora cf. spathulata,No Name,doi.org/10.1016/j.cub.2026.04.069
RRAP-ECT01-2022-Aspat-NONA-646_L2,Acropora cf. spathulata,No Name,doi.org/10.1016/j.cub.2026.04.070
RRAP-ECT01-2022-Aspat-OCCH-1000_L4,Acropora cf. spathulata,Chicken,doi.org/10.1016/j.cub.2026.04.128
RRAP-ECT01-2022-Aspat-OCCH-1515_L3,Acropora cf. spathulata,Chicken,doi.org/10.1016/j.cub.2026.04.129
RRAP-ECT01-2022-Aspat-OCCH-1524_L3,Acropora cf. spathulata,Chicken,doi.org/10.1016/j.cub.2026.04.130
RRAP-ECT01-2022-Aspat-OCCH-1527_L3,Acropora cf. spathulata,Chicken,doi.org/10.1016/j.cub.2026.04.131
RRAP-ECT01-2022-Aspat-OCCH-1531_L4,Acropora cf. spathulata,Chicken,doi.org/10.1016/j.cub.2026.04.132
RRAP-ECT01-2022-Aspat-OCCH-1534_L4,Acropora cf. spathulata,Chicken,doi.org/10.1016/j.cub.2026.04.133
RRAP-ECT01-2022-Aspat-OCCH-804_L4,Acropora cf. spathulata,Chicken,doi.org/10.1016/j.cub.2026.04.126
RRAP-ECT01-2022-Aspat-OCCH-991_L4,Acropora cf. spathulata,Chicken,doi.org/10.1016/j.cub.2026.04.127
RRAP-ECT01-2022-Aspat-OCDA-1547_L3,Acropora cf. spathulata,Davies,doi.org/10.1016/j.cub.2026.04.134
RRAP-ECT01-2022-Aspat-OCDA-1557_L3,Acropora cf. spathulata,Davies,doi.org/10.1016/j.cub.2026.04.135
RRAP-ECT01-2022-Aspat-OCDA-1561_L4,Acropora cf. spathulata,Davies,doi.org/10.1016/j.cub.2026.04.136
RRAP-ECT01-2022-Aspat-OCDA-1570_L4,Acropora cf. spathulata,Davies,doi.org/10.1016/j.cub.2026.04.137
RRAP-ECT01-2022-Aspat-OCDA-1571_L4,Acropora cf. spathulata,Davies,doi.org/10.1016/j.cub.2026.04.138
RRAP-ECT01-2022-Aspat-OCDA-1572_L3,Acropora cf. spathulata,Davies,doi.org/10.1016/j.cub.2026.04.139
RRAP-ECT01-2022-Aspat-OCDA-1584_L3,Acropora cf. spathulata,Davies,doi.org/10.1016/j.cub.2026.04.140
RRAP-ECT01-2022-Aspat-OCDA-1593_L3,Acropora cf. spathulata,Davies,doi.org/10.1016/j.cub.2026.04.141
RRAP-ECT01-2022-Aspat-ONMO-857_L3,Acropora cf. spathulata,Moore,doi.org/10.1016/j.cub.2026.04.098
RRAP-ECT01-2022-Aspat-ONMO-860_L3,Acropora cf. spathulata,Moore,doi.org/10.1016/j.cub.2026.04.099
RRAP-ECT01-2022-Aspat-ONMO-861_L1,Acropora cf. spathulata,Moore,doi.org/10.1016/j.cub.2026.04.100
RRAP-ECT01-2022-Aspat-ONMO-876_L4,Acropora cf. spathulata,Moore,doi.org/10.1016/j.cub.2026.04.101
RRAP-ECT01-2022-Aspat-ONMO-879_L4,Acropora cf. spathulata,Moore,doi.org/10.1016/j.cub.2026.04.102
RRAP-ECT01-2022-Aspat-ONMO-889_L4,Acropora cf. spathulata,Moore,doi.org/10.1016/j.cub.2026.04.103
RRAP-ECT01-2022-Aspat-ONMO-895_L4,Acropora cf. spathulata,Moore,doi.org/10.1016/j.cub.2026.04.104
RRAP-ECT01-2022-Aspat-PAPE-909_L3,Acropora cf. spathulata,Pelorus,doi.org/10.1016/j.cub.2026.04.119
RRAP-ECT01-2022-Aspat-PAPE-910_L4,Acropora cf. spathulata,Pelorus,doi.org/10.1016/j.cub.2026.04.120
RRAP-ECT01-2022-Aspat-PAPE-913_L3,Acropora cf. spathulata,Pelorus,doi.org/10.1016/j.cub.2026.04.121
RRAP-ECT01-2022-Aspat-PAPE-915_L4,Acropora cf. spathulata,Pelorus,doi.org/10.1016/j.cub.2026.04.122
RRAP-ECT01-2022-Aspat-PAPE-916_L3,Acropora cf. spathulata,Pelorus,doi.org/10.1016/j.cub.2026.04.123
RRAP-ECT01-2022-Aspat-PAPE-919_L4,Acropora cf. spathulata,Pelorus,doi.org/10.1016/j.cub.2026.04.124
RRAP-ECT01-2022-Aspat-PAPE-937_L3,Acropora cf. spathulata,Pelorus,doi.org/10.1016/j.cub.2026.04.125
RRAP-ECT01-2022-Aspat-STCR-719_L2,Acropora cf. spathulata,St Crispin,doi.org/10.1016/j.cub.2026.04.092
RRAP-ECT01-2022-Aspat-STCR-727_L1,Acropora cf. spathulata,St Crispin,doi.org/10.1016/j.cub.2026.04.093
RRAP-ECT01-2022-Aspat-STCR-744_L2,Acropora cf. spathulata,St Crispin,doi.org/10.1016/j.cub.2026.04.094
RRAP-ECT01-2022-Aspat-STCR-746_L1,Acropora cf. spathulata,St Crispin,doi.org/10.1016/j.cub.2026.04.095
RRAP-ECT01-2022-Aspat-STCR-751_L4,Acropora cf. spathulata,St Crispin,doi.org/10.1016/j.cub.2026.04.096
RRAP-ECT01-2022-Aspat-STCR-756_L2,Acropora cf. spathulata,St Crispin,doi.org/10.1016/j.cub.2026.04.097
