sample_id,species,location,source
Aten3478,Acropora kenti,U/N Reef,doi.org/10.1111/eva.13505
Aten3481,Acropora kenti,U/N Reef,doi.org/10.1111/eva.13506
Aten3651,Acropora kenti,Daydream Reef,doi.org/10.1111/eva.13492
Aten3654,Acropora kenti,Daydream Reef,doi.org/10.1111/eva.13493
Aten3655,Acropora kenti,Daydream Reef,doi.org/10.1111/eva.13494
Aten3656,Acropora kenti,Daydream Reef,doi.org/10.1111/eva.13495
Aten3657,Acropora kenti,Daydream Reef,doi.org/10.1111/eva.13496
Aten3660,Acropora kenti,Pine Island,doi.org/10.1111/eva.13497
Aten3663,Acropora kenti,Pine Island,doi.org/10.1111/eva.13498
Aten3666,Acropora kenti,Pine Island,doi.org/10.1111/eva.13499
Aten3671,Acropora kenti,Pine Island,doi.org/10.1111/eva.13500
Aten3673,Acropora kenti,Pine Island,doi.org/10.1111/eva.13501
Aten3675,Acropora kenti,Feather Reef,doi.org/10.1111/eva.13471
Aten3700,Acropora kenti,Feather Reef,doi.org/10.1111/eva.13472
Aten3713,Acropora kenti,Fitzroy Island,doi.org/10.1111/eva.13470
RRAP-ECO3-2021-Ahya-LIZA-444_L3,Acropora tersa,Lizard Is,doi.org/10.1038/s43247-024-01649-88
RRAP-ECO3-2021-Ahya-LIZA-446_L4,Acropora tersa,Lizard Is,doi.org/10.1038/s43247-024-01649-89
RRAP-ECO3-2021-Ahya-LIZA-447_L3,Acropora tersa,Lizard Is,doi.org/10.1038/s43247-024-01649-90
RRAP-ECO3-2021-Ahya-LIZA-460_L3,Acropora tersa,Lizard Is,doi.org/10.1038/s43247-024-01649-91
RRAP-ECO3-2021-Ahya-MOOR-367_L3,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-73
RRAP-ECO3-2021-Ahya-MOOR-391_L3,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-74
RRAP-ECO3-2021-Ahya-MOOR-392_L3,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-75
